property_name,location,bedrooms,bathrooms,price,size,price_per_sqm
2 BEDROOM APARTMENT IN (DARSIT),Darsait,2,2.0,400.0,120.0,3.3333333333333335
3+1 BEDROOM TOWNHOUSE IN (MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),3,3.0,650.0,120.0,5.416666666666667
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,3,3.0,475.0,120.0,3.9583333333333335
3 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,4,4.0,360.0,120.0,3.0
2 BEDROOM APARTMENT IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),2,2.0,300.0,150.0,2.0
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,3.0,550.0,120.0,4.583333333333333
3 BEDROOM TOWMHOUSE IN (MADINAT AL ILAM),Madinat Al llam,3,3.0,450.0,120.0,3.75
3 BEDROOM TOWNHOUSE,Qurum,4,4.0,650.0,120.0,5.416666666666667
5+1 BEDROOM VILLA IN ( QURUM),Qurum,5,5.0,2500.0,120.0,20.833333333333332
3+1 BEDROOM VILLA IN ( SHATTI QURUM),Shatti Al Qurum,4,4.0,2500.0,120.0,20.833333333333332
3+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,4,4.0,1000.0,120.0,8.333333333333334
2 SPACIOUS SHOWROOM IN ( MAABELLAH),Maabelah,2,2.0,3000.0,300.0,10.0
5 BEDROOM TWIN VILLA,Azaiba,6,6.0,700.0,200.0,3.5
COMMERCIAL SPACE FOR RENT IN (RUWI),Ruwi,2,,11000.0,120.0,91.66666666666667
4+1  BEDROOM TWIN-VILLA,Maabelah,5,5.0,450.0,250.0,1.8
4+1 BEDROOM TWIN-VILLA IN ( QURUM),Qurum,5,5.0,1350.0,600.0,2.25
2 BEDROOM PENTHOUSE  IN ( MUSCAT HILLS),Muscat Hills,3,3.0,650.0,250.0,2.6
2 BEDROOM PENTHOUSE FURNISHED IN ( MUSCAT HILLS),Muscat Hills,3,3.0,750.0,250.0,3.0
FURNISHED 2 BEDROOM APARTMENT IN ( MUSCAT HILLS),Muscat Hills,2,2.0,450.0,175.0,2.5714285714285716
2 BEDROOM APARTMENT IN (QURUM),Qurum,3,3.0,350.0,120.0,2.9166666666666665
5 BEDROOM TOWNHOUSE,Madinat Qaboos (MQ),6,6.0,1100.0,120.0,9.166666666666666
FULLY FURNISHED STUDIO APARTMENT IN (SALALAH),Salalah,1,1.0,400.0,55.0,7.2727272727272725
FURNISHED 4+1 BEDROOM TOWNHOUSE IN ( MUSCAT BAY),MUSCAT BAY,5,5.0,1400.0,583.0,2.4013722126929675
4+1 TOWNHOUSE IN (MADINAT AL SULTAN QABOOS),Madinat Qaboos (MQ),5,5.0,850.0,120.0,7.083333333333333
2 BEDROOM APARTMENT IN (AL KHUWAIR),Al Khuwair,2,2.0,260.0,150.0,1.7333333333333334
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,2,,315.0,84.0,3.75
COMMERCIAL OFFICE SPACE IN (ALKHUWAIR),Al Khuwair,2,,515.0,143.0,3.6013986013986012
2 BEDROOM APARTMENT IN (GHUBRA),Al Ghoubrah,2,2.0,210.0,135.0,1.5555555555555556
COMMERCIAL SPACE IN (SHATTI AL QURUM),Shatti Al Qurum,2,,11900.0,1400.0,8.5
PEARL BUILDING COMMERCIAL SPACE,Muscat Hills,2,,1200.0,97.0,12.371134020618557
7+1 BEDROOM COMMERCIAL VILLA IN ( MADINAT SULTAN QABOOS),Madinat Qaboos (MQ),5,5.0,1800.0,260.0,6.923076923076923
6+2 BHK COMMERCIAL VILLA IN (AZAIBA),Azaiba,10,10.0,3000.0,1000.0,3.0
6+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,7,7.0,1800.0,739.0,2.435723951285521
4+1 BEDROOM TOWNHOUSE IN (QURUM),Qurum,5,5.0,1200.0,529.0,2.268431001890359
5+1 BEDROOM TOWNHOUSE IN ( QURUM),Qurum,6,6.0,1750.0,556.0,3.147482014388489
5+1  BEDROOM TOWNHOUSE IN (QURUM),Qurum,6,6.0,1500.0,780.42,1.9220419773967865
2 BHK FULLY FURNISHED DUPLEX APARTMENT IN ( AL MOUJ),Al Mouj,3,3.0,2300.0,172.0,13.372093023255815
2-BEDROOM APARTMENT,Al Mawaleh,3,3.0,250.0,120.0,2.0833333333333335
1-BEDROOM APARTMENT,Al Mawaleh,2,2.0,220.0,120.0,1.8333333333333333
